ServiceApprovalNumber,ServiceName,ProviderLegalName,ServiceType,Suburb,State,Postcode,longitude,latitude,coordinate_valid,OverallRating,rating_group,NumberOfApprovedPlaces,DistanceToBusStation_km,DistanceToTrainStation_km,nearest_transport_distance_km,transport_distance_invalid,transport_distance_review,annual_weekly_operating_hours,annual_hours_valid,term_weekly_operating_hours_unadjusted,term_weekly_operating_hours,term_hours_overlap_adjusted,holiday_weekly_operating_hours,weekly_operating_hours,operating_hours_basis,detailed_offering_count,detailed_offering_combination,remoteness_code,remoteness_area,remoteness_broad_group,boundary_state_name,boundary_state_abbr,remoteness_match_status,state_boundary_consistent,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other
SE-00000002,Community Kids Waterford Early Education Centre,G8 Education Limited,Centre-Based Care,WATERFORD WEST,QLD,4133,153.133903,-27.690513,True,Meeting NQS,Meets NQS,60.000000,2.740061,2.240936,2.240936,False,False,60.000000,True,27.500000,27.500000,False,60.000000,60.000000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000003,KIDVENTURE EARLY LEARNING EAGLEBY,Table Mountain Trading Pty Ltd As The Trustee for Table Mountain Trading Trust,Centre-Based Care,EAGLEBY,QLD,4207,153.211788,-27.707468,True,Working Towards NQS,Below NQS,74.000000,6.463300,1.321988,1.321988,False,False,60.000000,True,,,False,,60.000000,Annual,5.000000,Long Day Care + Preschool: Stand-alone + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,Yes,Yes,Yes,No
SE-00000004,Community Kids - Broadbeach Waters,G8 Education Limited,Centre-Based Care,BROADBEACH WATERS,QLD,4217,153.410340,-28.024768,True,Meeting NQS,Meets NQS,75.000000,2.921968,1.934140,1.934140,False,False,60.000000,True,,,False,,60.000000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000005,Little Scholars School of Early Learning Burleigh Waters,The Scholars Group Pty Ltd,Centre-Based Care,BURLEIGH WATERS,QLD,4220,153.431381,-28.082158,True,Meeting NQS,Meets NQS,106.000000,8.819896,3.570195,3.570195,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000006,Small World Child Care Centre,A. & K. Massouras Pty. Ltd. ATF The A Massouras Family Trust,Centre-Based Care,CARRARA,QLD,4211,153.351670,-28.005581,True,Meeting NQS,Meets NQS,92.000000,7.408396,1.287302,1.287302,False,False,57.500000,True,,,False,,57.500000,Annual,4.000000,Long Day Care + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No
SE-00000008,Papilio Early Learning Currumbin,Affinity Education Group Pty Limited,Centre-Based Care,CURRUMBIN WATERS,QLD,4223,153.461610,-28.139364,True,Meeting NQS,Meets NQS,60.000000,15.553776,7.720669,7.720669,False,False,57.500000,True,,,False,,57.500000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000009,Panda's Child Care Centre,Ancom Pty Ltd,Centre-Based Care,ELANORA,QLD,4221,153.449901,-28.128613,True,Working Towards NQS,Below NQS,70.000000,14.160719,6.085334,6.085334,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000010,Koala Kindy,UYI Holdings Pty Ltd,Centre-Based Care,HELENSVALE,QLD,4212,153.327313,-27.903313,True,Meeting NQS,Meets NQS,75.000000,14.807725,2.716316,2.716316,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000011,Albert Waterways Children's Centre,Albert Waterways Children's Centre Inc,Centre-Based Care,MERMAID WATERS,QLD,4218,153.424347,-28.037026,True,Exceeding NQS,Above NQS,47.000000,3.794189,0.683661,0.683661,False,False,50.000000,True,,,False,,50.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Yes,No,No,No,No,No,No
SE-00000012,The Young Ones Early Learning,WWNest Pty Ltd as Trustee for CHH Trust,Centre-Based Care,MUDGEERABA,QLD,4213,153.363196,-28.079324,True,Meeting NQS,Meets NQS,86.000000,10.556250,1.708821,1.708821,False,False,57.500000,True,,,False,,57.500000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000013,Goodstart Early Learning Mudgeeraba,Goodstart Early Learning Ltd,Centre-Based Care,MUDGEERABA,QLD,4213,153.363363,-28.086512,True,Meeting NQS,Meets NQS,58.000000,11.200843,2.226252,2.226252,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000014,Little World Early Learning,Qelc Pty Ltd,Centre-Based Care,WORONGARY,QLD,4213,153.353974,-28.051688,True,Meeting NQS,Meets NQS,75.000000,8.990506,3.207150,3.207150,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000015,Hinterland Early Learning Centre,ELLENDALE EMP PTY LTD,Centre-Based Care,MUDGEERABA,QLD,4213,153.359021,-28.080505,True,Meeting NQS,Meets NQS,62.000000,10.908456,2.129022,2.129022,False,False,60.000000,True,,,False,,60.000000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000017,Clearview Early Learning and Kindergarten,EARLY EDUCATION HOLDINGS PTY LTD,Centre-Based Care,NERANG,QLD,4211,153.310053,-28.002655,True,Meeting NQS,Meets NQS,77.000000,11.493479,4.042563,4.042563,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000018,Little School Highland Park,Panorama EMP Pty Ltd,Centre-Based Care,NERANG,QLD,4211,153.333131,-28.012050,True,Meeting NQS,Meets NQS,64.000000,9.279328,2.597478,2.597478,False,False,60.000000,True,,,False,,60.000000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000019,Little World For Discoverers,Qelc Pty Ltd,Centre-Based Care,OXENFORD,QLD,4210,153.313352,-27.901911,True,Meeting NQS,Meets NQS,65.000000,15.860537,3.634861,3.634861,False,False,60.000000,True,,,False,,60.000000,Annual,4.000000,Long Day Care + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No
SE-00000020,Kool Kids Early Learning Centre - Mermaid Waters,Kool Kids Operations Pty Ltd,Centre-Based Care,MERMAID WATERS,QLD,4218,153.415140,-28.047369,True,Meeting NQS,Meets NQS,72.000000,5.072193,2.053414,2.053414,False,False,55.000000,True,,,False,,55.000000,Annual,4.000000,Long Day Care + Preschool: Stand-alone + OSHC: After School + OSHC: Before School,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,Yes,Yes,No,No
SE-00000021,Robina First Early Learning Centre,Youngercare Pty Ltd,Centre-Based Care,ROBINA,QLD,4226,153.404629,-28.064754,True,Meeting NQS,Meets NQS,100.000000,7.214659,2.715615,2.715615,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
