approval_year,service_type,current_services
1994,Centre-Based Care,1
2001,Centre-Based Care,1
2005,Centre-Based Care,2
2006,Centre-Based Care,278
2006,Family Day Care,10
2007,Centre-Based Care,710
2007,Family Day Care,15
2008,Centre-Based Care,953
2008,Family Day Care,17
2009,Centre-Based Care,1097
2009,Family Day Care,16
2010,Centre-Based Care,1139
2010,Family Day Care,15
2011,Centre-Based Care,1264
2011,Family Day Care,16
2012,Centre-Based Care,4631
2012,Family Day Care,75
2013,Centre-Based Care,1046
2013,Family Day Care,59
2014,Centre-Based Care,433
2014,Family Day Care,43
2015,Centre-Based Care,453
2015,Family Day Care,54
2016,Centre-Based Care,450
2016,Family Day Care,9
2017,Centre-Based Care,490
2017,Family Day Care,5
2018,Centre-Based Care,536
2018,Family Day Care,10
2019,Centre-Based Care,558
2019,Family Day Care,5
2020,Centre-Based Care,550
2020,Family Day Care,7
2021,Centre-Based Care,539
2021,Family Day Care,9
2022,Centre-Based Care,670
2022,Family Day Care,12
2023,Centre-Based Care,678
2023,Family Day Care,23
2024,Centre-Based Care,731
2024,Family Day Care,17
2025,Centre-Based Care,35
