remoteness_code,remoteness_area,state,child_population_0_13,census_year,population_definition
80,Major Cities of Australia,ACT,77576,2021,2021 Census usual residents aged 0-13
81,Inner Regional Australia,ACT,157,2021,2021 Census usual residents aged 0-13
10,Major Cities of Australia,NSW,1041692,2021,2021 Census usual residents aged 0-13
11,Inner Regional Australia,NSW,258702,2021,2021 Census usual residents aged 0-13
12,Outer Regional Australia,NSW,63009,2021,2021 Census usual residents aged 0-13
13,Remote Australia,NSW,4929,2021,2021 Census usual residents aged 0-13
14,Very Remote Australia,NSW,1235,2021,2021 Census usual residents aged 0-13
72,Outer Regional Australia,NT,26553,2021,2021 Census usual residents aged 0-13
73,Remote Australia,NT,9225,2021,2021 Census usual residents aged 0-13
74,Very Remote Australia,NT,9632,2021,2021 Census usual residents aged 0-13
30,Major Cities of Australia,QLD,582152,2021,2021 Census usual residents aged 0-13
31,Inner Regional Australia,QLD,167958,2021,2021 Census usual residents aged 0-13
32,Outer Regional Australia,QLD,120021,2021,2021 Census usual residents aged 0-13
33,Remote Australia,QLD,13587,2021,2021 Census usual residents aged 0-13
34,Very Remote Australia,QLD,11013,2021,2021 Census usual residents aged 0-13
40,Major Cities of Australia,SA,214240,2021,2021 Census usual residents aged 0-13
41,Inner Regional Australia,SA,26343,2021,2021 Census usual residents aged 0-13
42,Outer Regional Australia,SA,31312,2021,2021 Census usual residents aged 0-13
43,Remote Australia,SA,7425,2021,2021 Census usual residents aged 0-13
44,Very Remote Australia,SA,2400,2021,2021 Census usual residents aged 0-13
61,Inner Regional Australia,TAS,54430,2021,2021 Census usual residents aged 0-13
62,Outer Regional Australia,TAS,29940,2021,2021 Census usual residents aged 0-13
63,Remote Australia,TAS,1047,2021,2021 Census usual residents aged 0-13
64,Very Remote Australia,TAS,373,2021,2021 Census usual residents aged 0-13
20,Major Cities of Australia,VIC,849483,2021,2021 Census usual residents aged 0-13
21,Inner Regional Australia,VIC,200955,2021,2021 Census usual residents aged 0-13
22,Outer Regional Australia,VIC,39353,2021,2021 Census usual residents aged 0-13
23,Remote Australia,VIC,450,2021,2021 Census usual residents aged 0-13
50,Major Cities of Australia,WA,369816,2021,2021 Census usual residents aged 0-13
51,Inner Regional Australia,WA,39747,2021,2021 Census usual residents aged 0-13
52,Outer Regional Australia,WA,31834,2021,2021 Census usual residents aged 0-13
53,Remote Australia,WA,18287,2021,2021 Census usual residents aged 0-13
54,Very Remote Australia,WA,11299,2021,2021 Census usual residents aged 0-13
