state,remoteness_area,services,rated_services,below_nqs_pct_of_rated,below_nqs_ci95_lower_pct,below_nqs_ci95_upper_pct,median_nearest_transport_km,median_approved_places,annual_hours_services,median_annual_weekly_hours,eligible_for_comparison,quality_disadvantage,access_disadvantage,capacity_disadvantage,screening_flag,national_below_nqs_pct,national_median_transport_km,national_median_approved_places,child_population_0_13,centre_based_approved_places,approved_places_per_1000_children,national_approved_places_per_1000_children,coverage_gap_from_national,population_coverage_available,coverage_disadvantage,enhanced_screening_flag
ACT,Inner Regional Australia,3,3,0.000,0.000,56.151,32.055,22.000,1,50.000,False,False,False,False,False,8.804,2.326,60.000,157,22.000,140.127,274.628,-134.500,True,False,False
ACT,Major Cities of Australia,369,347,14.409,11.104,18.494,5.433,77.000,196,52.500,True,True,True,False,False,8.804,2.326,60.000,77576,31105.000,400.962,274.628,126.334,True,False,False
NSW,Inner Regional Australia,1117,1049,8.389,6.859,10.222,6.002,48.000,733,52.500,True,False,True,True,False,8.804,2.326,60.000,258702,60280.000,233.009,274.628,-41.618,True,True,False
NSW,Major Cities of Australia,4455,4241,6.673,5.960,7.464,1.502,55.000,3318,55.000,True,False,False,True,False,8.804,2.326,60.000,1041692,290947.000,279.302,274.628,4.674,True,False,False
NSW,Outer Regional Australia,225,206,9.223,5.984,13.955,42.075,39.000,157,47.500,True,True,True,True,True,8.804,2.326,60.000,63009,9494.000,150.677,274.628,-123.951,True,True,True
NSW,Remote Australia,25,23,13.043,4.538,32.128,159.985,30.000,17,44.000,True,True,True,True,True,8.804,2.326,60.000,4929,864.000,175.289,274.628,-99.339,True,True,True
NSW,Very Remote Australia,8,7,14.286,2.568,51.313,282.938,24.500,7,34.000,False,False,False,False,False,8.804,2.326,60.000,1235,216.000,174.899,274.628,-99.729,True,False,False
NT,Outer Regional Australia,145,138,19.565,13.809,26.970,4.633,71.000,89,52.500,True,True,True,False,False,8.804,2.326,60.000,26553,11109.000,418.371,274.628,143.743,True,False,False
NT,Remote Australia,50,46,28.261,17.324,42.549,4.056,46.000,26,41.250,True,True,True,True,True,8.804,2.326,60.000,9225,2556.000,277.073,274.628,2.445,True,False,False
NT,Very Remote Australia,36,28,25.000,12.676,43.356,307.789,29.000,15,32.500,True,True,True,True,True,8.804,2.326,60.000,9632,1276.000,132.475,274.628,-142.153,True,True,True
QLD,Inner Regional Australia,611,567,13.580,11.004,16.646,3.931,60.000,321,60.000,True,True,True,False,False,8.804,2.326,60.000,167958,39430.000,234.761,274.628,-39.867,True,True,False
