offering_combination,services,share_all_services_pct,number_of_offerings
Long Day Care,7315,41.414,1
OSHC: After School + OSHC: Before School + OSHC: Vacation Care,3373,19.096,3
Preschool: Stand-alone,2177,12.325,1
OSHC: After School + OSHC: Before School,878,4.971,2
Long Day Care + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,720,4.076,4
Preschool: School-based,655,3.708,1
Long Day Care + Preschool: Stand-alone,574,3.250,2
No detailed offering recorded,386,2.185,0
OSHC: After School + OSHC: Vacation Care,279,1.580,2
OSHC: After School,231,1.308,1
Long Day Care + OSHC: Vacation Care,138,0.781,2
Long Day Care + Preschool: Stand-alone + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,96,0.544,5
OSHC: Vacation Care,92,0.521,1
Long Day Care + OSHC: After School + OSHC: Before School,91,0.515,3
Long Day Care + Other,84,0.476,2
Long Day Care + Preschool: School-based,84,0.476,2
Preschool: Stand-alone + Other,82,0.464,2
OSHC: After School + OSHC: Before School + OSHC: Vacation Care + Other,52,0.294,4
Long Day Care + OSHC: After School + OSHC: Vacation Care,37,0.209,3
Other,34,0.192,1
Long Day Care + Preschool: School-based + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,30,0.170,5
Preschool: School-based + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,23,0.130,4
Long Day Care + OSHC: After School,20,0.113,2
Long Day Care + Preschool: Stand-alone + OSHC: After School + OSHC: Before School,18,0.102,4
OSHC: After School + OSHC: Before School + Other,16,0.091,3
Long Day Care + Preschool: Stand-alone + OSHC: Vacation Care,16,0.091,3
Preschool: School-based + Other,13,0.074,2
Long Day Care + OSHC: Before School,12,0.068,2
Long Day Care + Preschool: Stand-alone + OSHC: After School + OSHC: Vacation Care,11,0.062,4
Preschool: Stand-alone + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,11,0.062,4
Preschool: School-based + OSHC: After School + OSHC: Before School,9,0.051,3
Long Day Care + OSHC: After School + OSHC: Before School + OSHC: Vacation Care + Other,9,0.051,5
Long Day Care + Preschool: Stand-alone + Other,8,0.045,3
OSHC: After School + OSHC: Vacation Care + Other,8,0.045,3
Preschool: Stand-alone + OSHC: After School + OSHC: Vacation Care,6,0.034,3
Long Day Care + Preschool: School-based + OSHC: After School + OSHC: Before School,6,0.034,4
Preschool: Stand-alone + OSHC: After School,6,0.034,2
Preschool: Stand-alone + OSHC: Vacation Care,6,0.034,2
Long Day Care + OSHC: Vacation Care + Other,5,0.028,3
Long Day Care + Preschool: School-based + Preschool: Stand-alone,4,0.023,3
OSHC: Before School,4,0.023,1
Preschool: School-based + OSHC: After School,3,0.017,2
Preschool: School-based + Preschool: Stand-alone + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,3,0.017,5
Preschool: School-based + OSHC: Before School,3,0.017,2
Long Day Care + Preschool: School-based + Preschool: Stand-alone + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,2,0.011,6
Long Day Care + Preschool: School-based + OSHC: After School + OSHC: Before School + OSHC: Vacation Care + Other,2,0.011,6
Long Day Care + Preschool: Stand-alone + OSHC: Before School + OSHC: Vacation Care,2,0.011,4
Long Day Care + Preschool: School-based + OSHC: After School,2,0.011,3
OSHC: Vacation Care + Other,2,0.011,2
Long Day Care + Preschool: Stand-alone + OSHC: After School + OSHC: Vacation Care + Other,2,0.011,5
Long Day Care + Preschool: Stand-alone + OSHC: After School + OSHC: Before School + OSHC: Vacation Care + Other,2,0.011,6
Long Day Care + OSHC: Before School + OSHC: Vacation Care,2,0.011,3
Long Day Care + Preschool: School-based + OSHC: Vacation Care,2,0.011,3
Long Day Care + Preschool: School-based + Other,2,0.011,3
Long Day Care + Preschool: Stand-alone + OSHC: Before School,2,0.011,3
Preschool: Stand-alone + OSHC: Before School,1,0.006,2
Long Day Care + Preschool: Stand-alone + OSHC: After School,1,0.006,3
Long Day Care + OSHC: After School + Other,1,0.006,3
Long Day Care + OSHC: After School + OSHC: Before School + Other,1,0.006,4
Preschool: School-based + OSHC: After School + Other,1,0.006,3
Preschool: Stand-alone + OSHC: After School + OSHC: Before School + OSHC: Vacation Care + Other,1,0.006,5
Long Day Care + Preschool: School-based + OSHC: After School + OSHC: Vacation Care,1,0.006,4
Preschool: Stand-alone + OSHC: After School + OSHC: Before School + Other,1,0.006,4
Preschool: Stand-alone + OSHC: After School + Other,1,0.006,3
Preschool: School-based + Preschool: Stand-alone,1,0.006,2
Preschool: Stand-alone + OSHC: After School + OSHC: Before School,1,0.006,3
Long Day Care + Preschool: School-based + Preschool: Stand-alone + OSHC: After School + OSHC: Vacation Care,1,0.006,5
OSHC: After School + Other,1,0.006,2
