remoteness_area,quality_area,rated_services,below_nqs_services,below_nqs_pct_of_rated
Major Cities of Australia,QA1,11915,629,5.279
Major Cities of Australia,QA2,11915,583,4.893
Major Cities of Australia,QA3,11914,276,2.317
Major Cities of Australia,QA4,11914,233,1.956
Major Cities of Australia,QA5,11914,233,1.956
Major Cities of Australia,QA6,11914,170,1.427
Major Cities of Australia,QA7,11914,611,5.128
Inner Regional Australia,QA1,2851,184,6.454
Inner Regional Australia,QA2,2851,159,5.577
Inner Regional Australia,QA3,2851,72,2.525
Inner Regional Australia,QA4,2851,86,3.016
Inner Regional Australia,QA5,2851,53,1.859
Inner Regional Australia,QA6,2851,39,1.368
Inner Regional Australia,QA7,2851,198,6.945
Outer Regional Australia,QA1,1223,130,10.630
Outer Regional Australia,QA2,1223,97,7.931
Outer Regional Australia,QA3,1223,50,4.088
Outer Regional Australia,QA4,1223,37,3.025
Outer Regional Australia,QA5,1223,35,2.862
Outer Regional Australia,QA6,1223,30,2.453
Outer Regional Australia,QA7,1223,125,10.221
Remote Australia,QA1,203,36,17.734
Remote Australia,QA2,203,24,11.823
Remote Australia,QA3,203,13,6.404
Remote Australia,QA4,203,11,5.419
Remote Australia,QA5,203,9,4.433
Remote Australia,QA6,203,6,2.956
Remote Australia,QA7,203,25,12.315
Very Remote Australia,QA1,134,31,23.134
Very Remote Australia,QA2,134,22,16.418
Very Remote Australia,QA3,134,16,11.940
Very Remote Australia,QA4,134,15,11.194
Very Remote Australia,QA5,134,6,4.478
Very Remote Australia,QA6,134,8,5.970
Very Remote Australia,QA7,134,32,23.881
