remoteness_area,rating,services,share_of_rated_pct
Major Cities of Australia,Significant Improvement Required,9,0.076
Major Cities of Australia,Working Towards NQS,924,7.755
Major Cities of Australia,Meeting NQS,8296,69.627
Major Cities of Australia,Exceeding NQS,2665,22.367
Major Cities of Australia,Excellent,21,0.176
Inner Regional Australia,Significant Improvement Required,2,0.070
Inner Regional Australia,Working Towards NQS,283,9.926
Inner Regional Australia,Meeting NQS,1993,69.905
Inner Regional Australia,Exceeding NQS,568,19.923
Inner Regional Australia,Excellent,5,0.175
Outer Regional Australia,Significant Improvement Required,1,0.082
Outer Regional Australia,Working Towards NQS,181,14.800
Outer Regional Australia,Meeting NQS,847,69.256
Outer Regional Australia,Exceeding NQS,193,15.781
Outer Regional Australia,Excellent,1,0.082
Remote Australia,Significant Improvement Required,0,0.000
Remote Australia,Working Towards NQS,44,21.675
Remote Australia,Meeting NQS,138,67.980
Remote Australia,Exceeding NQS,21,10.345
Remote Australia,Excellent,0,0.000
Very Remote Australia,Significant Improvement Required,1,0.746
Very Remote Australia,Working Towards NQS,40,29.851
Very Remote Australia,Meeting NQS,76,56.716
Very Remote Australia,Exceeding NQS,17,12.687
Very Remote Australia,Excellent,0,0.000
